"URL","NAME"
"https://sm64romhacks.com/hacks/bowsers_dank_rave_x_-_the_grand_finale__ost_version_","Bowser's Dank Rave X - The Grand Finale (OST Version)"
"https://sm64romhacks.com/hacks/bowsers_dank_rave","Bowser's Dank Rave"
"https://sm64romhacks.com/hacks/bowsers_evil_test","Bowser's Evil Test"
"https://sm64romhacks.com/hacks/bowsers_fiery_fortress","Bowser's Fiery Fortress"
"https://sm64romhacks.com/hacks/bowsers_icy_climb","Bowser's Icy Climb"
"https://sm64romhacks.com/hacks/bowsers_record_revenge","Bowser's Record Revenge"
"https://sm64romhacks.com/hacks/bowsette_64","Bowsette 64"
"https://sm64romhacks.com/hacks/breaking_the_barrier","Breaking the Barrier"
"https://sm64romhacks.com/hacks/breath_of_garlic_-_remastered_betah","Breath of Garlic - Remastered Betah"
"https://sm64romhacks.com/hacks/brutal_mario_64","Brutal Mario 64"
"https://sm64romhacks.com/hacks/bullet_bill_simulator","Bullet Bill Simulator"
"https://sm64romhacks.com/hacks/bunny_mario_64","Bunny Mario 64"
"https://sm64romhacks.com/hacks/bup_64","Bup 64"
"https://sm64romhacks.com/hacks/bup","Bup"
"https://sm64romhacks.com/hacks/butterfly_64","Butterfly 64"
"https://sm64romhacks.com/hacks/cbt_64","CBT 64"
"https://sm64romhacks.com/hacks/cannon_canyon","Cannon Canyon"
"https://sm64romhacks.com/hacks/cap_kingdom_64","Cap Kingdom 64"
"https://sm64romhacks.com/hacks/captain_64","Captain 64"
"https://sm64romhacks.com/hacks/captain_toad_64__kaze_","Captain Toad 64 (Kaze)"
"https://sm64romhacks.com/hacks/captain_toad_64","Captain Toad 64"
"https://sm64romhacks.com/hacks/captainyoshi64s_meme_hack","CaptainYoshi64's Meme Hack"
"https://sm64romhacks.com/hacks/car_quest_64","Car Quest 64"
"https://sm64romhacks.com/hacks/cascade_slide","Cascade Slide"
"https://sm64romhacks.com/hacks/casino_bingo_slide","Casino Bingo Slide"
"https://sm64romhacks.com/hacks/castle_grounds","Castle Grounds"
"https://sm64romhacks.com/hacks/catwalk_caper","Catwalk Caper"
"https://sm64romhacks.com/hacks/celestio_64","Celestio 64"
"https://sm64romhacks.com/hacks/chao_bandstand","Chao Bandstand"
"https://sm64romhacks.com/hacks/chaos_edition_pack_[pack]","Chaos Edition Pack [pack]"
"https://sm64romhacks.com/hacks/chaotic_collab","Chaotic Collab"
"https://sm64romhacks.com/hacks/charlemagnes_congquest_64__course_1_warios_farm_","Charlemagne's Congquest 64 (Course 1 Wario's Farm)"
"https://sm64romhacks.com/hacks/chartreuse_star_adventure","Chartreuse Star Adventure"
"https://sm64romhacks.com/hacks/chicago","Chicago"
"https://sm64romhacks.com/hacks/chili_64","Chili 64"
"https://sm64romhacks.com/hacks/chilly_castle","Chilly Castle"
"https://sm64romhacks.com/hacks/chris_pratt_64","Chris Pratt 64"
"https://sm64romhacks.com/hacks/chris","Chris"
"https://sm64romhacks.com/hacks/christmas_machinima_map","Christmas Machinima Map"
"https://sm64romhacks.com/hacks/christmasplex_mall","Christmasplex Mall"
"https://sm64romhacks.com/hacks/chryoyo_katx_toaster_64","Chryoyo Katx Toaster 64"
"https://sm64romhacks.com/hacks/classic_mario_in_sm64","Classic Mario in SM64"
"https://sm64romhacks.com/hacks/classic_skylands","Classic Skylands"
"https://sm64romhacks.com/hacks/climbing_course","Climbing Course"
"https://sm64romhacks.com/hacks/collision_editor","Collision Editor"
"https://sm64romhacks.com/hacks/compact_challenges","Compact Challenges"
"https://sm64romhacks.com/hacks/conkers_bad_fur_day_in_sm64__proof_of_concept_","Conker's Bad Fur Day in SM64 (Proof of Concept)"
"https://sm64romhacks.com/hacks/control_lakitu_-_free_camera_in_sm64","Control Lakitu - Free Camera in SM64"
"https://sm64romhacks.com/hacks/cool_cool_bay","Cool Cool Bay"
"https://sm64romhacks.com/hacks/cornbread_64","Cornbread 64"
"https://sm64romhacks.com/hacks/corroded_charklet_city","Corroded Charklet City"
"https://sm64romhacks.com/hacks/cosmics_unnamed_extreme_hack","Cosmic's Unnamed Extreme Hack"
"https://sm64romhacks.com/hacks/counter_strike_1.64","Counter Strike 1.64"
"https://sm64romhacks.com/hacks/craftwithcookies_level_pack_re-release","Craftwithcookies Level Pack Re-Release"
"https://sm64romhacks.com/hacks/crash_bandicoot_64","Crash Bandicoot 64"
"https://sm64romhacks.com/hacks/crazy_carnival","Crazy Carnival"
"https://sm64romhacks.com/hacks/crescent_crescendo","Crescent Crescendo"
"https://sm64romhacks.com/hacks/crudelo_sphere_2","Crudelo Sphere 2"
"https://sm64romhacks.com/hacks/cube_64","Cube 64"
"https://sm64romhacks.com/hacks/cursed_winter_forest","Cursed Winter Forest"
"https://sm64romhacks.com/hacks/cymbal_isles","Cymbal Isles"
"https://sm64romhacks.com/hacks/ddr_mario_mix_64","DDR: Mario Mix 64"
"https://sm64romhacks.com/hacks/discord_64","DISCORD 64"
"https://sm64romhacks.com/hacks/dnvics_bob-omb_dojo","DNVICs Bob-omb Dojo"
"https://sm64romhacks.com/hacks/dackage_practice_1","Dackage Practice 1"
"https://sm64romhacks.com/hacks/dackage_practice_2","Dackage Practice 2"
"https://sm64romhacks.com/hacks/dackage_practice_3","Dackage Practice 3"
"https://sm64romhacks.com/hacks/dackage_practice_4","Dackage Practice 4"
"https://sm64romhacks.com/hacks/danganropa_64","Danganropa 64"
"https://sm64romhacks.com/hacks/dar_gos_glitchies_2","Dar Gos' Glitchies 2"
"https://sm64romhacks.com/hacks/dar_gos_glitchies","Dar Gos' Glitchies"
"https://sm64romhacks.com/hacks/daredevil_64","Daredevil 64"
"https://sm64romhacks.com/hacks/darius_the_janitor_a_christmas_story","Darius The Janitor: A Christmas Story"
"https://sm64romhacks.com/hacks/dark_stars","Dark Stars"
"https://sm64romhacks.com/hacks/dead_mans_dungeon","Dead Mans Dungeon"
"https://sm64romhacks.com/hacks/deadly_gas_mines","Deadly Gas Mines"
"https://sm64romhacks.com/hacks/decor_galore_slide","Decor Galore Slide"
"https://sm64romhacks.com/hacks/dein_hack_sm64_fjord","Dein Hack SM64 FJORD"
"https://sm64romhacks.com/hacks/dein_sm64_hack_best_of_v1.3","Dein SM64 Hack Best of v1.3"
"https://sm64romhacks.com/hacks/demon_run_64","Demon Run 64"
"https://sm64romhacks.com/hacks/depressing_lack_of_creativity_64","Depressing Lack of Creativity 64"
"https://sm64romhacks.com/hacks/desert_mario_64","Desert Mario 64"
"https://sm64romhacks.com/hacks/despair_marios_gambit_64","Despair Mario's Gambit 64"
"https://sm64romhacks.com/hacks/despair_marios_greens_64","Despair Mario's Greens 64"
"https://sm64romhacks.com/hacks/devastated_forest","Devastated Forest"
"https://sm64romhacks.com/hacks/diamond_star_adventure","Diamond Star Adventure"
"https://sm64romhacks.com/hacks/dice_fortress_redone","Dice Fortress Redone"
"https://sm64romhacks.com/hacks/die_rache_der_anderen","Die Rache der Anderen"
"https://sm64romhacks.com/hacks/diorama_of_extreme_shenanigans_64","Diorama of Extreme Shenanigans 64"
"https://sm64romhacks.com/hacks/disaster_quest_pi","Disaster Quest Pi"
"https://sm64romhacks.com/hacks/disaster_quest_tree","Disaster Quest Tree"
"https://sm64romhacks.com/hacks/disasteromp_simulator","Disasteromp Simulator"
"https://sm64romhacks.com/hacks/do_you_love_betah","Do you love Betah"
"https://sm64romhacks.com/hacks/doki_doki_mario_64","Doki Doki Mario 64"
"https://sm64romhacks.com/hacks/donkey_kong_64","Donkey Kong 64"
"https://sm64romhacks.com/hacks/donut_mountain","Donut Mountain"
"https://sm64romhacks.com/hacks/dorrie_construction_inc.","Dorrie Construction Inc."
"https://sm64romhacks.com/hacks/dorrie_treasure_hunt","Dorrie Treasure Hunt"
"https://sm64romhacks.com/hacks/downlight_hills","Downlight Hills"
"https://sm64romhacks.com/hacks/drawn_to_life_64","Drawn To Life 64"
"https://sm64romhacks.com/hacks/duddys_piano_world_the_con-troll-er","Duddy's Piano World: The Con-troll-er"
"https://sm64romhacks.com/hacks/duddys_piano_world_the_con-troll-er_the_burger_comet","Duddy's Piano World: The Con-troll-er: The Burger Comet"
"https://sm64romhacks.com/hacks/dumb_daisy_64","Dumb Daisy 64"
"https://sm64romhacks.com/hacks/egg_64","Egg 64"
"https://sm64romhacks.com/hacks/emilsm64s_house_hack","EmilSM64's House Hack"
"https://sm64romhacks.com/hacks/emote_challenge_64_2","Emote Challenge 64 2"
"https://sm64romhacks.com/hacks/emote_challenge_64","Emote Challenge 64"
"https://sm64romhacks.com/hacks/escape_from_the_jail_-_definitive_edition","Escape from the Jail - Definitive Edition"
"https://sm64romhacks.com/hacks/eternal_sky_castle","Eternal Sky Castle"
"https://sm64romhacks.com/hacks/euromir","Euromir"
"https://sm64romhacks.com/hacks/evo_q","Evo Q"
"https://sm64romhacks.com/hacks/exotic_danger","Exotic Danger"
"https://sm64romhacks.com/hacks/experimental_platform_battlefield","Experimental Platform Battlefield"
"https://sm64romhacks.com/hacks/expert_stages_1_-_chomp_island","Expert Stages 1 - Chomp Island"
"https://sm64romhacks.com/hacks/extreme_island","Extreme Island"
"https://sm64romhacks.com/hacks/falling_forever","Falling Forever"
"https://sm64romhacks.com/hacks/fangame_marathon_hack","Fangame Marathon Hack"
